"","class_id","wave","num_removed","num_absent","sts_density","sts_reciprocity","tst_density","tst_reciprocity","sender_psyche_jaccard","target_percep_jaccard","num_present","prop_female","missing_gender"
"1","14100",4,0,17,0.19047619047619,0.256410256410256,0.252380952380952,0.346153846153846,0.309859154929577,0.309859154929577,15,0.666666666666667,0
"2","14200",4,0,1,0.0784313725490196,0.166666666666667,0.160130718954248,0.0408163265306122,0.258620689655172,0.0895522388059701,18,0.555555555555556,0
"3","15100",4,0,0,0.0419354838709677,0.102564102564103,0.0741935483870968,0.231884057971014,0.08,0.136842105263158,31,0.419354838709677,0
"4","15200",4,0,6,0.0726495726495727,0.156862745098039,0.11965811965812,0.261904761904762,0.163793103448276,0.184210526315789,27,0.407407407407407,0
"5","15300",4,0,2,0.102298850574713,0.157303370786517,0.0896551724137931,0.0526315789473684,0.176056338028169,0.0774193548387097,30,0.533333333333333,0
"6","16100",4,0,8,0.0604395604395604,0,0.115384615384615,0.0952380952380952,0.230769230769231,0,14,0.428571428571429,0
"7","22100",4,11,7,0.0516666666666667,0.0645161290322581,0.0733333333333333,0.136363636363636,0.209677419354839,0.0563380281690141,25,0.64,0
"8","23100",4,0,5,0.042483660130719,0.307692307692308,0.0882352941176471,0.296296296296296,0.212121212121212,0.111111111111111,18,0.555555555555556,0
"9","31100",4,0,1,0.0588235294117647,0.133333333333333,0.143382352941176,0.461538461538462,0.195652173913043,0.145833333333333,17,0.470588235294118,0
"10","31200",4,0,2,0.110294117647059,0.2,0.0992647058823529,0.222222222222222,0.266666666666667,0.117647058823529,17,0.470588235294118,0
"11","32100",4,0,8,0.0857142857142857,0.166666666666667,0.185714285714286,0.41025641025641,0.325581395348837,0.225806451612903,21,0.476190476190476,0
"12","33100",4,0,8,0.0507246376811594,0,0.0851449275362319,0.304347826086957,0.171875,0.0563380281690141,24,0.375,0
"13","34100",4,0,3,0.136029411764706,0.0540540540540541,0.113970588235294,0.0645161290322581,0.172413793103448,0.0625,17,0.411764705882353,0
"14","35200",4,0,4,0.166666666666667,0.153846153846154,0.1375,0.242424242424242,0.123076923076923,0.140625,16,0.3125,0
"15","41100",4,1,7,0.0295566502463054,0.0833333333333333,0.082512315270936,0.149253731343284,0.197368421052632,0.0705882352941176,29,0.448275862068966,0
"16","41200",4,0,1,0.0517241379310345,0.177777777777778,0.0666666666666667,0.275862068965517,0.240963855421687,0.119565217391304,30,0.433333333333333,0
"17","43100",4,0,4,0.102380952380952,0.0930232558139535,0.169047619047619,0.142857142857143,0.295454545454545,0.0458715596330275,21,0.523809523809524,0
"18","43200",4,2,6,0.0865800865800866,0.307692307692308,0.125541125541126,0.482758620689655,0.289473684210526,0.272727272727273,22,0.318181818181818,0
"19","44100",4,3,4,0.0727513227513227,0.145454545454545,0.182539682539683,0.246376811594203,0.162650602409639,0.0965909090909091,28,0.642857142857143,0
"20","44200",4,8,11,0.00833333333333333,0,0.03,0.222222222222222,0,0,25,0.44,0
"21","46100",4,0,7,0.0761904761904762,0,0.204761904761905,0.19047619047619,0.340909090909091,0.0727272727272727,15,0.266666666666667,0
"22","46200",4,0,3,0.0330882352941176,0,0.154411764705882,0.19047619047619,0.159090909090909,0.0408163265306122,17,0.529411764705882,0
"23","51100",4,0,4,0.196078431372549,0.101694915254237,0.199346405228758,0.163934426229508,0.551282051282051,0.0707964601769911,18,0.5,0
"24","52100",4,0,5,0.0666666666666667,0.357142857142857,0.164285714285714,0.235294117647059,0.182926829268293,0.182926829268293,21,0.476190476190476,0
"25","54100",4,1,2,0.0110294117647059,0,0.0808823529411765,0.181818181818182,0.0869565217391304,0,17,0.588235294117647,0
"26","55100",4,0,12,0.142105263157895,0.296296296296296,0.289473684210526,0.348623853211009,0.214814814814815,0.154929577464789,20,0.45,0
"27","55200",4,1,8,0.202380952380952,0.172839506172839,0.24047619047619,0.303030303030303,0.488,0.1625,21,0.571428571428571,0
"28","57100",4,1,3,0.138095238095238,0.206896551724138,0.19047619047619,0.3,0.254545454545455,0.078125,15,0.4,0
"29","57200",4,0,2,0.0994152046783626,0,0.119883040935673,0.341463414634146,0.388888888888889,0.119402985074627,19,0.473684210526316,0
"30","61100",4,10,8,0.0833333333333333,0.114285714285714,0.15952380952381,0.208955223880597,0.172413793103448,0.146067415730337,21,0.476190476190476,0
"31","62100",4,1,4,0.233333333333333,0.166666666666667,0.2,0.195121951219512,0.568965517241379,0.123456790123457,15,0.533333333333333,0
"32","63100",4,0,5,0.0928853754940712,0.0425531914893617,0.217391304347826,0.275229357798165,0.198473282442748,0.0608108108108108,23,0.652173913043478,0
"33","66100",4,0,3,0.15,0.303030303030303,0.254166666666667,0.262295081967213,0.293333333333333,0.114942528735632,16,0.4375,0
"34","67100",4,0,2,0.0467836257309941,0,0.0994152046783626,0,0.315789473684211,0,19,0.526315789473684,0
